ts,strategy,event,side,entry,stop,tp,outcome_r,note
2026-06-26 19:39:23.586923+00:00,EURUSD,open,-1,1.1382,1.1392,1.1362,,tpp_adx18_rsi48
2026-06-26 21:08:52.669911+00:00,EURUSD,close,-1,1.13817,1.13916,1.1361899999999998,-1.000,
2026-06-29 23:32:42.914939+00:00,ETHUSD,open,-1,1606.7100,1620.0000,1566.8400,,tpp_adx18_rsi45_relaxed
2026-06-30 01:36:23.282818+00:00,ETHUSD,close,-1,1606.71,1606.71,1566.8400000000001,0.500,
2026-07-27 12:14:39.148833+00:00,EURUSD,open,-1,1.1387,1.1401,1.1357,,tpp_adx18_rsi48
2026-07-28 11:52:02.264745+00:00,EURUSD,close,-1,1.13868,1.14015,1.1357399999999997,2.000,
2026-08-09 13:13:39.435366+00:00,EURUSD,open,-1,1.1533,1.1562,1.1476,,tpp_adx18_rsi48
2026-08-09 13:58:57.250402+00:00,EURUSD,close,-1,1.15334,1.15619,1.14764,-1.000,
2026-08-09 15:44:40.994567+00:00,EURUSD,open,-1,1.1536,1.1562,1.1484,,tpp_adx18_rsi48
2026-08-09 17:24:19.188543+00:00,EURUSD,close,-1,1.1536,1.15619,1.1484199999999998,-1.000,
2026-08-10 00:03:02.085629+00:00,ETHUSD,open,-1,1908.6300,1920.9900,1871.5500,,tpp_adx18_rsi45_relaxed
2026-08-10 02:31:26.480083+00:00,ETHUSD,close,-1,1908.63,1920.99,1871.5500000000004,-1.000,
2026-08-18 05:21:28.196737+00:00,EURUSD,open,-1,1.1570,1.1581,1.1549,,tpp_adx18_rsi48
2026-08-18 14:04:16.354595+00:00,EURUSD,close,-1,1.157,1.15807,1.1548600000000002,-1.000,
